itemid,title,Category,image_path
307504,nyx sex bomb pallete natural palette,0,beauty_image/6b2e9cbb279ac95703348368aa65da09.jpg
461203,etude house precious mineral any cushion pearl aura puff,1,beauty_image/20450222d857c9571ba8fa23bdedc8c9.jpg
3592295,milani rose powder blush,2,beauty_image/6a5962bed605a3dd6604ca3a4278a4f9.jpg
4460167,etude house baby sweet sugar powder,3,beauty_image/56987ae186e8a8e71fcc5a261ca485da.jpg
5853995,bedak revlon color stay aqua mineral make up,3,beauty_image/9c6968066ebab57588c2f757a240d8b9.jpg
6208490,dr pure whitening cream,4,beauty_image/77e6b7e9d5544adbfda6809b2351c4fa.jpg
6959546,chanel powder blush malice,2,beauty_image/485c4b8435a1e94976a569f3f014ea8b.jpg
8984461,snail white cream original 100,4,beauty_image/c7336f1c2e590d4c2bee219a6a0351a7.jpg
9184082,sunprise all proof spf 50,4,beauty_image/970b32aa659689f371516e5ceb423e25.jpg
10345338,eyebrow powder nyx satuan rp 15.000 pc,3,beauty_image/49a47745248031775c98593f70f7201a.jpg
11016411,monistat chafing relief gel,4,beauty_image/b9c7520d1e7db646f3fd9a506bf217d2.jpg
11425757,milani rose powder blush tea,1,beauty_image/61c6562efdb08df862c57c393d85165e.jpg
13017527,the balm meet matte trimony,4,beauty_image/b127456214fbc670d769b44f67190845.jpg
14733804,laneige water base cc cream spf36 pa,5,beauty_image/df301ccce6dfdf8afbe92e29355c8a38.jpg
14954162,giordani gold age defying compact foundation dengan spf 15 perfect cover,1,beauty_image/be2218804c9f47e0a52fa49e818d9867.jpg
15584552,the body shop refill moisture white perfect foundation,3,beauty_image/3b0242f05b102ba074bf66c2546d542a.jpg
16397989,lancome blush subtil long lasting powder blusher colour veil buildable intensity,2,beauty_image/0025491eaeb55e40166dce7249ca24a4.jpg
16590500,missha line friends magic cushion moisture 2 refills,1,beauty_image/4a910e099389786334aaf0de3673cd58.jpg
19715422,elf acne fighting foundation beige,1,beauty_image/76f6e0a1827197bf0679c849d4b82d86.jpg
